1,Tempo de Guerra,2025,7.3/10,"A platoon of Navy SEALs embark on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event."
2,Improvisação Perigosa,2025,6.7/10,Three improv actors are asked to go undercover by the police in London's criminal underworld.
3,Extermínio,2002,7.5/10,"Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary."
4,Elio,2025,7.1/10,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with alien lifeforms, navigate a crisis of intergalactic proportions and... Read all"
5,The Toxic Avenger,2023,5.7/10,"A horrible toxic accident transforms downtrodden janitor, Winston Gooze into a new evolution of hero: The Toxic Avenger."
7,Como Treinar o Seu Dragão,2025,8.1/10,"As an ancient threat endangers both Vikings and dragons alike on the isle of Berk, the friendship between Hiccup, an inventive Viking, and Toothless, a Night Fury dragon, becomes the key to ... Read all"
8,Guerreiras do K-Pop,2025,7.9/10,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
9,Copycat: A Vida Imita a Morte,1995,6.6/10,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.
10,Tubarão,1975,8.1/10,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
11,Amores Materialistas,2025,6.8/10,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex."
12,Premonição 6: Laços de Sangue,2025,6.9/10,"Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them... Read all"
13,Missão: Impossível - O Acerto Final,2025,7.4/10,Our lives are the sum of our choices. Tom Cruise is Ethan Hunt in Mission: Impossible - The Final Reckoning.
14,Extermínio 2,2007,6.9/10,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not ... Read all"
15,O Contador 2,2025,6.7/10,Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief's murder.
16,Echo Valley,2025,6.3/10,"Kate is dealing with a personal tragedy while owning and training horses in Echo Valley, an isolated and picturesque place, when her daughter, Claire, arrives at her doorstep, frightened, tr... Read all"
18,Extermínio: A Evolução,2025,7.2/10,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mu... Read all"
19,Um Filme Minecraft,2025,5.7/10,Four misfits are suddenly pulled through a mysterious portal into a bizarre cubic wonderland that thrives on imagination. To get back home they'll have to master this world while embarking o... Read all
17,Pecadores,2025,7.8/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
20,Bailarina,2025,7.2/10,An assassin trained in the traditions of the Ruska Roma organization sets out to seek revenge after her father's death.
22,Branca de Neve,2025,2.0/10,A princess joins forces with seven dwarfs and a group of rebels to liberate her kingdom from her cruel stepmother the Evil Queen.
21,Até a Última Gota,2025,6.5/10,"A single mother navigates a series of unfortunate events, leading her down an unforeseen path where she becomes embroiled in a situation she never envisioned, finding herself at the center o... Read all"
23,Operação Vingança,2025,6.5/10,"When his supervisors at the CIA refuse to take action after his wife is killed in a London terrorist attack, a decoder takes matters into his own hands."
25,A Vida de Chuck,2024,7.7/10,"A life-affirming, genre-bending story based on Stephen King's novella about three chapters in the life of an ordinary man named Charles Krantz."
